City_ID,City,Country,Date,Longitude,Lattitude,MaxTemp,Humidity,WindSpeed,Cloudiness
3220813,Wanning,AT,1563762102,13.53,48.64,64,88,1.12,20
3346821,Ondjiva,AO,1563762234,15.73,-17.07,51.05,19,8.1,0
3347019,Namibe,AO,1563762128,12.15,-15.19,66.89,83,12.5,32
3353383,Rundu,NA,1563762117,19.77,-17.91,46.37,18,6.51,0
3355672,Luderitz,NA,1563762113,15.16,-26.65,57.71,65,5.82,0
3356832,Henties Bay,NA,1563762219,14.28,-22.12,54,96,3,86
3366880,Hermanus,ZA,1563762101,19.24,-34.42,57,56,14,0
3369157,Cape Town,ZA,1563762149,18.42,-33.93,57,62,12.75,0
3372472,Vila Franca do Campo,PT,1563762137,-25.43,37.72,71.6,94,11.41,20
3372707,Ribeira Grande,PT,1563762161,-28.7,38.52,74.63,86,28.97,40
3372745,Rabo de Peixe,PT,1563762096,-25.58,37.8,71.6,94,11.41,20
3374083,Bathsheba,BB,1563762141,-59.52,13.22,82.4,74,16.11,40
3374210,Sao Filipe,CV,1563762185,-24.5,14.9,75.71,77,5.66,3
3378644,Georgetown,GY,1563762132,-58.16,6.8,82.4,94,4.7,0
3381303,Kourou,GF,1563762223,-52.64,5.16,75.2,100,1.7,95
3386213,Touros,BR,1563762127,-35.46,-5.2,71.6,100,3.36,40
3388456,Sao Jose da Coroa Grande,BR,1563762221,-35.15,-8.9,68.87,96,4.65,38
3389822,Salinopolis,BR,1563762164,-47.36,-0.61,80.75,80,15.95,8
3391889,Pitimbu,BR,1563762172,-34.81,-7.47,71.6,94,4.7,0
3391940,Pirapemas,BR,1563762166,-44.23,-3.73,70.49,93,2.17,0
3393106,Paragominas,BR,1563762203,-47.35,-3,71.39,86,3.4,5
3395458,Maragogi,BR,1563761958,-35.22,-9.01,68.87,96,4.65,38
3403251,Canto do Buriti,BR,1563762216,-42.94,-8.11,70.13,60,6.38,0
3403687,Camocim,BR,1563762195,-40.84,-2.9,72.29,86,3.94,0
3407882,Altamira,BR,1563762215,-52.21,-3.2,70.49,97,2.28,26
3418910,Upernavik,GL,1563762144,-56.15,72.79,43.13,94,8.05,97
3420846,Qaqortoq,GL,1563762203,-46.03,60.72,46.4,75,3.36,88
3421193,Paamiut,GL,1563762108,-49.67,61.99,41.33,93,16.49,18
3421319,Nuuk,GL,1563762165,-51.74,64.17,44.01,93,2.24,100
3421719,Narsaq,GL,1563762132,-46.05,60.91,46.4,75,3.36,88
3421765,Nanortalik,GL,1563762103,-45.24,60.14,38.45,94,0.45,93
3421982,Maniitsoq,GL,1563762134,-52.9,65.42,44.39,93,8.28,100
3423146,Ilulissat,GL,1563762141,-51.1,69.22,46.4,87,2.24,40
3424607,Tasiilaq,GL,1563762107,-37.64,65.61,48.2,66,3.36,0
3427208,Pilar,AR,1563762127,-58.91,-34.46,57.99,50,11.41,0
3430443,Necochea,AR,1563762216,-58.74,-38.55,44.01,94,6.8,100
3437029,San Patricio,PY,1563762169,-56.83,-26.98,72.11,65,12.08,9
3440777,Rocha,UY,1563761966,-54.34,-34.48,67.43,86,16.15,100
3443061,Chuy,UY,1563762118,-53.46,-33.69,65.27,89,13.94,100
3448903,Sao Joao da Barra,BR,1563762162,-41.05,-21.64,63.11,94,4.21,0
3450144,Santa Luzia,BR,1563762238,-43.85,-19.77,59,77,4.7,0
3453439,Ponta do Sol,BR,1563762155,-46,-20.63,56.63,81,7.52,32
3460355,Jaciara,BR,1563762199,-54.98,-15.95,68.69,63,2.91,69
3460954,Praia,BR,1563762144,-43.81,-20.25,59,77,4.7,0
3461724,Gurupi,BR,1563762139,-49.07,-11.73,72.47,49,5.97,0
3462672,Santa Maria,BR,1563762210,-48.01,-16.02,66.2,68,8.05,0
3465145,Crixas,BR,1563762078,-49.97,-14.55,67.79,51,3.51,67
3465342,Corumba,BR,1563762140,-57.65,-19,81.47,38,10.36,100
3466165,Cidreira,BR,1563762126,-50.22,-30.17,63.11,83,7.18,56
3466980,Caravelas,BR,1563762222,-39.27,-17.73,71.93,77,12.35,75
3470871,Barao de Melgaco,BR,1563762117,-55.97,-16.19,73.4,53,4.7,0
3471451,Arraial do Cabo,BR,1563762107,-42.02,-22.97,69.41,79,25.37,5
3520994,Puerto Escondido,MX,1563762185,-97.07,15.86,82.4,69,3.36,40
3523466,Matamoros,US,1563762198,-97.51,25.87,86,79,13.87,1
3526662,Teya,MX,1563762213,-89.07,21.05,73.99,94,3.38,75
3528788,El Llano,MX,1563762205,-99.32,20.06,55.91,89,5.88,100
3536259,Sibanicu,CU,1563762181,-77.53,21.23,78.8,88,8.05,0
3543961,Benito Juarez,CU,1563762215,-79.63,22.29,78.8,78,5.82,40
3573374,The Valley,AI,1563762210,-63.06,18.22,82.4,74,9.17,20
3576994,Cockburn Town,TC,1563762009,-71.14,21.46,82.91,79,19.77,0
3577430,Road Town,VG,1563762188,-64.62,18.42,80.6,83,4.7,40
3581398,Laguna,BZ,1563762178,-88.94,16.17,80.6,88,3.47,75
3592086,Ocos,GT,1563762221,-92.19,14.51,80.6,100,6.31,40
3603330,Amapa,HN,1563762120,-87.97,15.09,82.4,78,8.05,75
3604251,Olanchito,HN,1563762149,-86.57,15.48,84.2,83,5.82,40
3622716,Nicoya,CR,1563762150,-85.45,10.15,82.4,69,12.75,0
3643620,El Cobre,VE,1563762162,-72.06,8.04,86,48,13.87,40
3652764,Puerto Ayora,EC,1563761989,-90.35,-0.74,70,93,1.99,32
3662252,Sao Paulo de Olivenca,BR,1563762166,-68.87,-3.38,72.11,95,0.18,74
3667697,Supia,CO,1563762230,-75.65,5.45,61.49,99,1.86,100
3670303,Samaca,CO,1563762198,-73.49,5.49,47.81,97,4.81,74
3671765,Prado,CO,1563762132,-74.93,3.75,81.65,49,6.69,83
3687975,Calamar,CO,1563762230,-72.65,1.96,70.49,93,0.27,74
3691954,Sechura,PE,1563762115,-80.82,-5.56,63.83,89,6.98,10
3695465,Huallanca,PE,1563762189,-76.94,-9.9,33.05,93,3.8,46
3720455,Moron,HT,1563762218,-74.26,18.56,80.75,81,8.28,13
3831208,Qaanaaq,GL,1563762118,-69.36,77.48,38.63,87,5.55,93
3833367,Ushuaia,AR,1563762105,-68.31,-54.81,35.6,69,12.75,75
3833859,Barrow,AR,1563762144,-60.23,-38.31,46.55,42,7.83,100
3835869,Santiago del Estero,AR,1563762161,-64.26,-27.8,63.83,61,16.69,3
3836277,Santa Fe,AR,1563761864,-60.7,-31.62,64.4,88,21.92,90
3838859,Rio Gallegos,AR,1563762138,-69.22,-51.62,33.8,80,11.41,40
